Token ID,signal,TP1,SL,timeline,Signal Message,Current Price,tweet_id,Tweet,Tweet Date,Price at Tweet,Exit Price,P&L
airswap,Buy,0.00068,0.00035,1-2 weeks,Low market cap (<$10M) and perceived chart strength suggest speculative upside. Monitor volume spikes for confirmation. Tight stop-loss protects against downside in volatile micro-cap environment. Maintain position size discipline given high risk/reward profile.,0.0004349635147,1898589002195927043,https://x.com/Cryptobullmaker/status/1898589002195927043,2025-03-09T04:17:46.000Z,0.0004426217471,,
airswap,Buy,0.0005,0.0004,Short-term (1-2 weeks),"AST is oversold with strong support, suggesting a potential reversal. Target 0.0005–0.001 with tight stop-loss at 0.0004. Monitor volume spikes for confirmation of upward momentum.",0.0004349635147,1898584067173691557,https://x.com/Cryptobullmaker/status/1898584067173691557,2025-03-09T03:58:10.000Z,0.0004426217471,,
airswap,Buy,0.05,0.035,Short-term (1-7 days),Bullish sentiment from tweet suggests accumulation despite recent -13.6% dip. Current high $2.95M volume indicates interest. Monitor PROS correlation for confirmation. Set tight stop loss given crypto volatility.,0.04299299355,1898420861599965546,https://x.com/Cryptobullmaker/status/1898420861599965546,2025-03-08T17:09:39.000Z,0.04977073022,,
airswap,Buy,0.05,0.038,1-2 weeks,"Consider accumulating AST at current dip levels as suggested, but monitor volume trends closely. Maintain tight stop loss given -13.62% monthly decline. First target at $0.05 represents 16% upside from current price. Beware of fading momentum despite social media enthusiasm.",0.04299299355,1898342321181319520,https://x.com/Cryptobullmaker/status/1898342321181319520,2025-03-08T11:57:33.000Z,0.04977073022,,
airswap,Hold,0.049,0.04,Wait for price to hold above 0.06 with volume confirmation,"AST remains below the critical 0.06 resistance level cited in the tweet, with a 13.6% price decline. Monitor for sustained volume-driven momentum above 0.06 to confirm bullish potential. Maintain strict stop loss below current support. PROS' parallel downtrend (-16.8%) suggests broader market caution.",0.04299299355,1898321887723487255,https://x.com/Cryptobullmaker/status/1898321887723487255,2025-03-08T10:36:21.000Z,0.04977073022,,
airswap,Hold,0.045,0.04,1-3 days,AST shows bearish momentum (-13.62% decline) despite tweet speculation. Monitor for reversal signals correlated with PROS. Low-cap volatility risks require tight stop-loss. Consider waiting for confirmed bullish divergence before entry.,0.04299299355,1898308409784434864,https://x.com/Cryptobullmaker/status/1898308409784434864,2025-03-08T09:42:48.000Z,0.04977073022,,
airswap,Buy,0.05,0.038,1-2 weeks,AST shows a falling wedge pattern indicating potential bullish reversal. Monitor for breakout confirmation above wedge resistance with volume increase. Align strategy with PROS' similar technical structure. Maintain strict stop-loss to manage downside risk.,0.04299299355,1898223356198912279,https://x.com/Cryptobullmaker/status/1898223356198912279,2025-03-08T04:04:50.000Z,0.04977073022,,
airswap,Buy,0.046,0.04,Short-term (24-48 hours),"AST shows oversold conditions with recent -13.62% drop, aligning with social media pump narrative. Monitor volume spikes for confirmation. Tight stop-loss advised given high volatility. Consider partial profit-taking at first target.",0.04299299355,1898206491565277469,https://x.com/Cryptobullmaker/status/1898206491565277469,2025-03-08T02:57:49.000Z,0.04977073022,,
airswap,Buy,0.000478,0.0004,1-3 days,"AST shows triple bottom pattern with bullish divergence, suggesting potential reversal. Low market cap increases volatility potential but requires confirmation. Monitor volume spikes for confirmation. Tight stop-loss advised given micro-cap risks.",0.0004349635147,1898158085782548931,https://x.com/Cryptobullmaker/status/1898158085782548931,2025-03-07T23:45:28.000Z,0.0004404115312,,
airswap,Buy,0.0516,0.0387,1-3 days,"AST shows oversold conditions with -13.62% price drop and low market cap, suggesting potential rebound. Monitor whale activity given high historical volume. Use tight stop-loss to manage risk. Consider PROS correlation for confirmation.",0.04299299355,1898149196924174590,https://x.com/Cryptobullmaker/status/1898149196924174590,2025-03-07T23:10:09.000Z,0.04977073022,,
zignaly,Buy,0.097,0.075,1-3 months,ZIG shows bullish sentiment with historical consolidation patterns suggesting potential breakout. Current dip (-11%) amid rising volume may indicate accumulation. Target key resistance levels with tight stop-loss to manage risk. Monitor ecosystem developments for sustained momentum.,0.08088412348,1897691548344820121,https://x.com/CryptoGemRnld/status/1897691548344820121,2025-03-06T16:51:37.000Z,0.09090202561,,
vanar-chain,Buy,0.035,0.025,1-2 weeks,Bullish sentiment from social signals suggests accumulation opportunity after 16.8% dip. Increased volume supports potential reversal. Use stop-loss to manage downside risk given market volatility. Monitor for parabolic breakout above $0.035 resistance.,0.02811692521,1897664434518347820,https://x.com/CryptoGemRnld/status/1897664434518347820,2025-03-06T15:03:52.000Z,0.03380977245,,
nfprompt-token,Buy,0.0977,0.069,1-2 weeks,Consider accumulation at current dip (-14.87%) given bullish ecosystem developments. Technical compression suggests potential breakout. Monitor AI chatbot integration progress and partner announcements. Maintain tight stop-loss given recent volatility.,0.08146129029,1898400262714483084,https://x.com/CryptoGemRnld/status/1898400262714483084,2025-03-08T15:47:47.000Z,0.09569035519,,
nfprompt-token,Buy,0.085,0.075,Medium-term (2-4 weeks),"Token burn reduces supply, potentially increasing scarcity. Monitor volume for confirmation of bullish momentum. Set stop loss to manage downside risk. Consider accumulation near current levels for possible rebound.",0.08146129029,1898354385476067652,https://x.com/nfprompt/status/1898354385476067652,2025-03-08T12:45:29.000Z,0.09569035519,,
tri-sigma,Buy,0.0053,0.0028,1-3 days,"TRISIG shows 23.77% bullish momentum with rising market cap, suggesting a potential bounce play. High-risk meme volatility warrants tight stop loss. Monitor volume trends and STNK correlation for exit timing. Consider partial profit-taking at first target.",0.003543187207,1898121722395824173,https://x.com/CryptoGemRnld/status/1898121722395824173,2025-03-07T21:20:58.000Z,0.002862822797,,
wisdomise,Buy,0.0073,0.004,3-5 days,"Bullish MA crossover potential aligns with historical 400% spikes, but verify RSI(44.37) and volatility(30.28%) risks. Monitor volume spikes for confirmation. Set tight stop-loss given bearish macro sentiment[1][9]. Consider partial profit-taking at first target.",0.004903453878,1901375061665481186,https://x.com/CryptoGemRnld/status/1901375061665481186,2025-03-16T20:48:35.000Z,0.004903453878,,
wisdomise,Buy,0.0083,0.004,short-term,Retest suggests potential accumulation phase. Monitor volume surge for confirmation of upward momentum. Maintain strict stop-loss to mitigate volatility risks. Align with KuCoin's strong buy sentiment per recent indicators.,0.004903453878,1901373583026532630,https://x.com/CryptoGemRnld/status/1901373583026532630,2025-03-16T20:42:42.000Z,0.004903453878,,
zignaly,Buy,0.089,0.0768,1-3 days,Bullish falling channel breakout pattern detected. Monitor volume confirmation for sustained upward momentum. Maintain strict stop loss given recent 4.6% price dip. Consider partial profit-taking at first target.,0.08088412348,1900927994144735650,https://x.com/CryptoGemRnld/status/1900927994144735650,2025-03-15T15:12:05.000Z,0.0847871565,,
wisdomise,Buy,0.0098,0.0045,Short-term (1-4 weeks),Tweet suggests bullish momentum with LAI/OPAI/OBI growth projections. Current 20% volatility and oversold RSI (28.42) [3] support accumulation thesis. Monitor volume spikes above $764k for confirmation. Stop loss guards against breakdown below March lows.,0.004903453878,1900669350346191209,https://x.com/CryptoGemRnld/status/1900669350346191209,2025-03-14T22:04:20.000Z,0.005018732468,,
vanar-chain,Buy,0.029,0.027,Short-term (1-3 days),Bullish reversal signaled per tweet analysis with recent dip presenting entry opportunity. Monitor volume trends for confirmation. Technical setup suggests potential rebound from current levels. Maintain strict stop-loss given market volatility.,0.02811692521,1900666592415125505,https://x.com/CryptoGemRnld/status/1900666592415125505,2025-03-14T21:53:22.000Z,0.02857969032,,
nfprompt-token,Buy,0.085,0.077,1-3 days,"Bullish daily breakout suggests upward momentum despite recent -3.16% dip. Consider entry at current $0.081 levels with tight stop loss, as increased volume (+31% vs historical) indicates accumulation. Monitor for confirmation above $0.085 resistance level from March 14 data.",0.08146129029,1900665225667637456,https://x.com/CryptoGemRnld/status/1900665225667637456,2025-03-14T21:47:57.000Z,0.08411790184,,
linqai,Buy,0.5,0.03,Mid-long term,"Watch for confirmed breakout above falling channel resistance with bullish divergence confirmation on daily chart. Maintain stop-loss below $0.03 to manage risk. Target $0.5 initially, then $1 if momentum sustains. Monitor volume spikes for breakout validity.",0.03286914851,1900581499671593174,https://x.com/CryptoGemRnld/status/1900581499671593174,2025-03-14T16:15:15.000Z,0.03088133313,,
nfprompt-token,Buy,0.12,0.07,Short to mid-term,Falling wedge pattern suggests bullish reversal potential. Confirm breakout with volume spike above wedge resistance. Manage risk with stop-loss below pattern support. Monitor CCI momentum & RSI for continuation signals post-breakout.,0.08146129029,1900544136262148239,https://x.com/CryptoGemRnld/status/1900544136262148239,2025-03-14T13:46:47.000Z,0.08040345323,,
wisdomise,Buy,0.0098,0.0044,Next 1-3 days,"WSDM shows extreme oversold conditions with 10.25% price drop, while AI tokens dominate top gainers. Recent volume surge (+16.6%) suggests accumulation potential. Target 2-3x rebound aligned with sector momentum, but maintain tight stop-loss given low market cap ($2.34M) volatility.",0.004903453878,1900299690731876718,https://x.com/CryptoGemRnld/status/1900299690731876718,2025-03-13T21:35:26.000Z,0.005463242453,,
linqai,Buy,0.035,0.03,1-3 days,Bullish divergence and falling channel breakout pattern suggests potential reversal. Watch for volume-backed breakout above channel resistance. Recent -2.73% pullback shows volatility - manage risk with strict stop. Targets align with March 2025 prediction ceilings from technical analysis.,0.03286914851,1899950264754503723,https://x.com/CryptoGemRnld/status/1899950264754503723,2025-03-12T22:26:57.000Z,0.03379232585,,
linqai,Buy,0.05,0.028,Mid to Long-term (3-6 months),Bullish social sentiment aligns with strong roadmap milestones suggesting accumulation opportunity during current -2.73% dip. Monitor volume spikes for confirmation while maintaining strict stop-loss. Consider tiered profit-taking at key resistance levels given high volatility in low-cap AI tokens.,0.03286914851,1899926185204998409,https://x.com/CryptoGemRnld/status/1899926185204998409,2025-03-12T20:51:16.000Z,0.03379232585,,
skey-network,Buy,0.0673,0.02,"Short-term (1-3 months), Mid-term (6-12 months)","Bullish 4h chart alignment and RWA project fundamentals support accumulation. Recent 4.5% price rise shows momentum, but maintain tight stop-loss given broader market bearish sentiment. Monitor KuCoin volume spikes for confirmation. Consider scaling profits at 3x before targeting 10x in mid-term.",0.0224407834,1899885906796175577,https://x.com/CryptoGemRnld/status/1899885906796175577,2025-03-12T18:11:13.000Z,0.0214747828,,
linqai,Buy,0.04,0.03,Mid-Long Term,Falling channel pattern with bullish divergence suggests potential reversal. Oversold 4h RSI indicates buying opportunity. Monitor breakout above channel resistance for confirmation. Manage risk with stop-loss below recent lows given high volatility.,0.03286914851,1899764172881301978,https://x.com/CryptoGemRnld/status/1899764172881301978,2025-03-12T10:07:29.000Z,0.03113917508,,
tether,Hold,1.0001,0.9995,Short-term (1-3 days),"Regulatory clarity favors Tether's stability, but minimal price movement reflects market caution. Monitor legislative updates for volatility triggers. Maintain positions with tight stops given USDT's peg resilience. Low volume suggests limited near-term momentum.",0.9999001217,1900694293372957050,https://x.com/CryptoSlate/status/1900694293372957050,2025-03-14T23:43:27.000Z,1.000009394,,
bitcoin,Buy,84500,80000,1-2 weeks,BMAX ETF introduction signals institutional confidence in Bitcoin-linked corporate strategies. Price shows recovery momentum above $81k support. Watch for resistance at $84.5k-$85.5k liquidity zones. Monitor volume confirmation for sustained upside.,82610.6175,1900591848902848972,https://x.com/CryptoSlate/status/1900591848902848972,2025-03-14T16:56:22.000Z,81098.90052,,
cheems-token,Buy,0.00000115,9.00E-07,Next 24-48 hours,Bullish social sentiment aligns with 14.17% recent price surge. Consider entry above $0.000000996 with tight stop-loss. Take profits at resistance levels given high volatility. Monitor volume spikes for confirmation.,9.96E-07,1897733278452666835,https://x.com/holdersignals/status/1897733278452666835,2025-03-06T19:37:26.000Z,8.72E-07,,
dego-finance,Buy,1.9,1.7,Next 4-6 hours,Tweet suggests trend reversal potential despite 11.47% weekly decline. Monitor for bullish divergence with reduced $9.16M volume vs historical $29.2M. Maintain tight stop loss given ERN's -21.66% performance. Consider partial profit-taking at $1.90 resistance.,1.795067207,1898468240210182145,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2.027616765,,
self-chain,Buy,0.3,0.23,24-48 hours,SLF shows bullish momentum with 8.16% price surge and increased volume. Consider buying with tight stop-loss given volatility. Monitor top gainer status for continuation. Be cautious of potential profit-taking after rapid rise.,0.2619414546,1898466567286874176,https://x.com/holdersignals/status/1898466567286874176,2025-03-08T20:11:16.000Z,0.2421764267,,
cheems-token,Hold,0.0000015,0.0000013,1-2 weeks,Recent 13% surge contrasts with current -1.7% retracement and low $456 volume. Monitor for confirmation of trend reversal or consolidation. Technical analysis shows mixed signals (Strong Buy oscillators vs Strong Sell moving averages). Consider waiting for sustained volume increase before entering new positions.,0.0001486976094,1898191346768241000,https://x.com/holdersignals/status/1898191346768241000,2025-03-08T01:57:38.000Z,0.0001512755898,,
self-chain,Buy,0.35,0.2,3-14 days,Bullish social sentiment aligns with technical targets from $0.35 to $0.50. Recent price stability at $0.26 suggests consolidation before potential breakout. Monitor volume spikes for confirmation. Maintain tight stop-loss given crypto volatility.,0.2619414546,1901381385245642863,https://x.com/holdersignals/status/1901381385245642863,2025-03-16T21:13:42.000Z,0.2619414546,,
auction,Buy,35,30,Next 24-48 hours,AUCTION shows strong momentum with 31.96% surge and 177% volume increase. Consider buying on pullbacks to $32-$33 zone. Targets align with Fibonacci extensions at $35/$40. Maintain strict stop-loss below $30 support level given overbought RSI conditions.,34.62613296,1901208306892292244,https://x.com/holdersignals/status/1901208306892292244,2025-03-16T09:45:57.000Z,26.23955949,,
ethereum,Buy,3793,1750,4-5 years,"ETH shows long-term bullish potential with institutional accumulation and technical breakout patterns. Current dip offers entry for multi-year hold. Monitor $1,750 as critical support. Rising L2 adoption and ETF developments may drive revaluation toward $1T market cap targets.",1887.764343,1900891588429291878,https://x.com/holdersignals/status/1900891588429291878,2025-03-15T12:47:26.000Z,1910.66627,,
illuvium,Buy,14.92,12.5,Short-term (1-4 weeks),"Bullish reversal setup with favorable risk-reward per tweet analysis. Initial target at 2025 resistance zone (~$14.92)[1][3], secondary target at key breakout level ($16.00)[9]. Maintain tight stop below March lows. Monitor volume for confirmation of upward momentum[2][8].",13.7709192,1900885052340531369,https://x.com/holdersignals/status/1900885052340531369,2025-03-15T12:21:27.000Z,13.9621053,,
nakamoto-games,Buy,0.45,0.34,1-2 weeks,"Partnership news creates bullish momentum despite recent 8.7% correction. Monitor volume spikes for confirmation, but maintain tight stop-loss given overall bearish technical indicators like RSI(14) at 40.29[4] and 86.9% below ATH[2]. Consider scaling profits at resistance levels.",0,1898009672998629454,https://x.com/CryptoDona7/status/1898009672998629454,2025-03-07T13:55:44.000Z,0,,
clearpool,Buy,0.14,0.1,1-2 weeks,"CPOOL shows bullish sentiment from recent exchange listings (Binance/ByBit), but faces -21% weekly dip. Accumulate on weakness with tight stop-loss. Targets align with pre-dip resistance levels. Monitor volume spikes for confirmation.",0.1217864213,1898008295903756416,https://x.com/CryptoDona7/status/1898008295903756416,2025-03-07T13:50:15.000Z,0.1545646485,,
ethereum-classic,Buy,20,15.5,1-2 months,"ETC shows potential for an altseason rally despite recent -12.59% correction. Accumulate near $17.48 with stop below $15.50 support. First target at $20.00 (pre-correction level), second at $25.00 (38.2% Fib extension). Monitor BTC dominance breakdown for confirmation.",17.4847944,1898004902028136546,https://x.com/CryptoDona7/status/1898004902028136546,2025-03-07T13:36:46.000Z,20.00355399,,
bitcoin,Buy,92000,80500,This week,BTC shows potential for upward movement toward the $92k-$95k liquidity zone. Maintain tight stop loss below $80.5k support. Monitor FOMC meeting outcomes and Trump's crypto reserve developments for volatility triggers. Current consolidation suggests accumulation before potential breakout.,82610.6175,1901387991890714838,https://x.com/CryptoDona7/status/1901387991890714838,2025-03-16T21:39:58.000Z,82610.6175,,
ethereum,Sell,1800,1950,1-2 weeks,ETH's persistent inflationary supply and recent price breakdown below key support indicate bearish momentum. Consider short positions with tight risk management as increased selling pressure may drive prices lower. Monitor staking trends and network upgrades for potential shifts in supply dynamics.,1887.764343,1901271029298712604,https://x.com/CryptoDona7/status/1901271029298712604,2025-03-16T13:55:11.000Z,1939.785688,,
coinecta,Buy,0.00072,0.00055,2-4 weeks,Deflationary tokenomics and ecosystem expansion plans suggest long-term value accumulation. Consider accumulating on dips with tight risk management given low liquidity. Monitor Cardano ecosystem developments for synergy opportunities. Use stop-loss to mitigate volatility risks from low market cap.,0,1901103311635271715,https://x.com/CryptoDona7/status/1901103311635271715,2025-03-16T02:48:44.000Z,0,,
astraai,Buy,1.2,0.65,Short-term (1-2 weeks),Acceptance above range low indicates bullish potential toward $1.45 mid-range target. Recent 8.24% pullback offers entry opportunity with tight stop below $0.65 support. Monitor volume for confirmation of upward momentum. Consider partial profit-taking at $1.20 resistance level.,0.7337462915,1900932371261575229,https://x.com/CryptoDona7/status/1900932371261575229,2025-03-15T15:29:29.000Z,0.7996735394,,
injective-protocol,Sell,10.5,12,Weeks to months,Consider selling into strength if price retraces to reclaim the HTF S/R zone ($10.50-$11.50) with weakening volume or bearish rejection patterns. Monitor RSI divergence and order book liquidity near targets. Maintain tight stop-loss above $12 to limit upside risk amid potential volatility.,9.61373743,1900567627543556292,https://x.com/CryptoDona7/status/1900567627543556292,2025-03-14T15:20:07.000Z,9.258404476,,
bittensor,Sell,209.96,256.33,1-3 days,TAO faces rejection at former support-turned-resistance with bearish momentum. Monitor $256.33 resistance for potential short opportunities. Declining volume and negative MACD suggest weakness. Next key supports at $209.96 and $188.00.,0.0003722813942,1900272103473238163,https://x.com/CryptoDona7/status/1900272103473238163,2025-03-13T19:45:49.000Z,0.0003722813942,,
bitcoin,Buy,92000,79000,Next few days,Anticipate a potential final upward surge toward $92K-$95K as per tweet sentiment. Monitor resistance near $84K for confirmation. Maintain strict stop-loss given recent volatility. Institutional ETF inflows and technical rebound signals support bullish momentum.,82610.6175,1900265141284765964,https://x.com/CryptoDona7/status/1900265141284765964,2025-03-13T19:18:09.000Z,81098.90052,,
injective-protocol,Buy,11.06,8.5,Short to medium term (1-3 months),INJ's deflationary tokenomics and reduced supply metrics support long-term appreciation. Monitor deflationary mechanisms like token burns and staking activity. Maintain strict stop-loss given recent -0.55% price dip. Bullish sentiment aligns with reduced circulation growth vs demand.,9.61373743,1900252387631051170,https://x.com/CryptoDona7/status/1900252387631051170,2025-03-13T18:27:28.000Z,9.667042534,,
nakamoto-games,Buy,0.45,0.25,1-2 weeks,"Bullish due to capped supply, partnerships, and team strength. Current 3.78% rise suggests momentum. Enter near $0.38 with tight stop-loss below $0.25. Monitor volume for confirmation of bottom formation.",0,1900201001690259637,https://x.com/CryptoDona7/status/1900201001690259637,2025-03-13T15:03:17.000Z,0,,
clearpool,Buy,0.14,0.1,1-3 months,"CPOOL shows 7.7% price momentum with bullish RWA sector sentiment. Accumulate during market dips per tweet advice, targeting breakout above $0.14. Maintain stop-loss at $0.10 to limit downside risk amid volatility.",0.1217864213,1899833193735319790,https://x.com/CryptoDona7/status/1899833193735319790,2025-03-12T14:41:45.000Z,0.113071688,,
viralmind,Buy,0.0062,0.005,1-2 weeks,Bullish sentiment from desktop app launch & free token incentives may drive demand. 18% price rise on positive news suggests upward momentum. Target key resistance levels at $0.0062 & $0.0065 with stop loss at $0.0050 to manage risk amid lower recent volume.,0.005453526462,1899564984817881465,https://x.com/CryptoDona7/status/1899564984817881465,2025-03-11T20:55:59.000Z,0.004613737361,,
bitcoin,Hold,84500,80000,Short-term (1-3 days),Geopolitical de-escalation may trigger a 'sell the news' reaction despite initial optimism. Monitor volume spikes for confirmation. BTC’s historical resilience to geopolitical shocks (see [1][4][12]) suggests holding with tight stop-loss. Wait for break above $84.5k (technical resistance per [5][8]) or drop below $80k for directional bias.,82610.6175,1899529521528795473,https://x.com/fatpigsignals/status/1899529521528795473,2025-03-11T18:35:04.000Z,82799.10803,,
bitcoin,Buy,96500,78300,1-2 weeks,"BTC shows rebound potential from $78.2K support with high beta correlation to equities. Target resistance at $96.5K (VWAP/200DMA) and $99.4K. Monitor S&P 500 movements closely, as 2.5x beta amplifies equity-linked volatility. Maintain tight stop below $78.3K given bearish MACD cross on daily charts.",82610.6175,1899501294030590312,https://x.com/fatpigsignals/status/1899501294030590312,2025-03-11T16:42:54.000Z,78783.94058,,
bitcoin,Sell,76000,85000,Short-term (1-2 weeks),BTC shows bearish divergence despite recent 2.3% rise. Monitor Saylor's key support zone (~$76K) for potential breakdown. Maintain tight stop-loss to manage risk amid high volatility from macroeconomic uncertainty.,82610.6175,1899147386846380354,https://x.com/fatpigsignals/status/1899147386846380354,2025-03-10T17:16:36.000Z,80751.13893,,
