Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Current Price,TP1,TP2,SL,Exit Price,P&L,Max Exit Time,backtesting_done
CryptoSlate,https://x.com/CryptoSlate/status/1909551272438698263,2025-04-08T10:17:55.000Z,2025-04-08T11:20:45.641Z,Sell,BTC,bitcoin,79179.29226757778,79179.29226757778,77000,75000,81000,,,2025-04-10T11:20:29Z,false
cryptoo_doctor,https://x.com/cryptoo_doctor/status/1909562101716177139,2025-04-08T11:00:57.000Z,2025-04-08T11:22:44.408Z,Hold,VELO,velo,0.010240709556254191,0.010240709556254191,0.0115,0.012,0.0097,,,2025-04-15T11:22:01Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909545902861434997,2025-04-08T09:56:35.000Z,2025-04-08T11:23:33.037Z,Buy,TALK,talken,0.010253452311152452,0.010253452311152452,0.0128,0.0154,0.0092,,,2025-04-10T11:23:15Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909545902861434997,2025-04-08T09:56:35.000Z,2025-04-08T11:23:49.620Z,Sell,ETH,ethereum,1555.909812570873,1555.909812570873,1400,1300,1650,,,2025-04-10T23:59:59Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909564435632734719,2025-04-08T11:10:14.000Z,2025-04-08T11:25:40.103Z,Hold,ETH,ethereum,1555.909812570873,1555.909812570873,1665,1755,1481,,,2025-04-10T23:59:59Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909549304051859785,2025-04-08T10:10:06.000Z,2025-04-08T11:25:53.989Z,Buy,MEME,meme-brc-20,5.100252542447827,5.100252542447827,5.6053,5.8653,4.8452,,,2025-04-09T11:25:40Z,true
BenjiGanar,https://x.com/BenjiGanar/status/1909560041453068360,2025-04-08T10:52:46.000Z,2025-04-08T11:26:33.498Z,Buy,FARTCOIN,fartcoin,0.5516030645130231,0.5516030645130231,0.669,1,0.46,,,2025-04-15T23:59:59Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909578223777988791,2025-04-08T12:05:01.000Z,2025-04-08T12:20:55.051Z,Buy,BTC,bitcoin,79179.29226757778,79179.29226757778,82400,85000,77000,,,2025-04-10T12:20:31Z,true
CryptoDona7,https://x.com/CryptoDona7/status/1909597016440647766,2025-04-08T13:19:41.000Z,2025-04-08T13:21:15.026Z,Hold,TAO,fusotao,0.00017327964102447404,0.00017327964102447404,0.0003,0.0004,0.0001,,,2025-04-11T13:20:50Z,true
CryptoDona7,https://x.com/CryptoDona7/status/1909597016440647766,2025-04-08T13:19:41.000Z,2025-04-08T13:21:28.819Z,Hold,TAO,tao-meme,0,0,0,0,,,,2025-04-15T13:21:17Z,false
CryptoDona7,https://x.com/CryptoDona7/status/1909597016440647766,2025-04-08T13:19:41.000Z,2025-04-08T13:21:55.574Z,Hold,TAO,bittensor,204.65758103733583,204.65758103733583,220,235,190,,,2025-04-15T13:21:28Z,true
CryptoDona7,https://x.com/CryptoDona7/status/1909597016440647766,2025-04-08T13:19:41.000Z,2025-04-08T13:22:12.727Z,Hold,TAO,the-anthropic-order,0.000014992656840216672,0.000014992656840216672,0,0,,,,2025-04-15T13:21:55Z,false
CryptoDona7,https://x.com/CryptoDona7/status/1909595715598250263,2025-04-08T13:14:31.000Z,2025-04-08T13:22:31.488Z,Sell,ETH,ethereum,1555.909812570873,1555.909812570873,1000,700,1800,,,2025-04-22T13:22:12Z,false
CryptoDona7,https://x.com/CryptoDona7/status/1909594863064015185,2025-04-08T13:11:08.000Z,2025-04-08T13:22:47.530Z,Hold,CPOOL,clearpool,0.11267684358102141,0.11267684358102141,0.15,0.2,0.095,,,2025-06-08T13:22:31Z,true
CryptoDona7,https://x.com/CryptoDona7/status/1909594346585731094,2025-04-08T13:09:05.000Z,2025-04-08T13:23:04.370Z,Buy,VIRAL,viralmind,0.00398108092718699,0.00398108092718699,0.4,0.5,0.0032,,,2025-05-08T13:22:47Z,false
CryptoDona7,https://x.com/CryptoDona7/status/1909601689931252119,2025-04-08T13:38:16.000Z,2025-04-08T13:41:03.321Z,Buy,FLOKI,floki,0.000050722761920516784,0.000050722761920516784,0.0000558,0.0000609,0.0000457,,,2025-04-15T13:40:48Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909618742000247177,2025-04-08T14:46:01.000Z,2025-04-08T15:02:19.441Z,Hold,ETH,ethereum,1555.909812570873,1555.909812570873,1800,2000,1400,,,2025-04-15T15:01:40Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909623518276333852,2025-04-08T15:05:00.000Z,2025-04-08T15:20:32.026Z,Buy,XRP,ripple,1.8972731944488423,1.8972731944488423,2,2.15,1.75,,,2025-04-11T15:20:19Z,true
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1909637299937419361,2025-04-08T15:59:46.000Z,2025-04-08T16:01:53.726Z,Buy,QS,quick-sync,0.001507426129375908,0.001507426129375908,0.003,0.0045,0.00075,,,2025-04-10T16:01:33Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909641883443511754,2025-04-08T16:17:59.000Z,2025-04-08T16:20:48.508Z,Hold,DCR,decred,11.043844068577283,11.043844068577283,11.3831,12.17,10.8129,,,2025-04-10T16:20:25Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909641883443511754,2025-04-08T16:17:59.000Z,2025-04-08T16:21:02.041Z,Hold,WHITE,whiterock,0.0006429603131801174,0.0006429603131801174,0.0007,0.00075,0.0005,,,2025-04-08T20:20:48Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909641883443511754,2025-04-08T16:17:59.000Z,2025-04-08T16:21:17.825Z,Hold,CORE,coredaoorg,0.4197911139116702,0.4197911139116702,0.424,0.4295,0.41,,,2025-04-10T16:21:02Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909641403451515259,2025-04-08T16:16:04.000Z,2025-04-08T16:21:35.303Z,Buy,SOL,solana,106.7967654056102,106.7967654056102,112,120,95,,,2025-04-28T23:59:59Z,true
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1909639385269653987,2025-04-08T16:08:03.000Z,2025-04-08T16:22:37.340Z,Buy,INJ,injective-protocol,7.2544664493031235,7.2544664493031235,9.5,12.09,6.89,,,2025-12-31T23:59:59Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909641374120788245,2025-04-08T16:15:57.000Z,2025-04-08T16:25:07.606Z,Buy,AAVE,aave,132.1269125689113,132.1269125689113,152,172,119,,,2025-04-22T16:24:47Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909641374120788245,2025-04-08T16:15:57.000Z,2025-04-08T16:25:33.256Z,Hold,ETH,ethereum,1555.909812570873,1555.909812570873,1620,1720,1480,,,2025-04-10T16:25:07Z,true
dippy_eth,https://x.com/dippy_eth/status/1909649425841922099,2025-04-08T16:47:57.000Z,2025-04-08T17:02:25.192Z,Buy,NPC,npc,0.00001207106081951115,0.00001207106081951115,0.0123,0.1,0.00001,,,2025-04-30T23:59:59Z,false
holdersignals,https://x.com/holdersignals/status/1909655254859461024,2025-04-08T17:11:07.000Z,2025-04-08T17:23:08.428Z,Buy,USUAL,usual,0.12467265740390195,0.12467265740390195,0.1496,0.1621,0.1122,,,2025-04-11T17:22:49Z,true
holdersignals,https://x.com/holdersignals/status/1909655254859461024,2025-04-08T17:11:07.000Z,2025-04-08T17:23:24.065Z,Hold,BTC,bitcoin,79179.29226757778,79179.29226757778,78805,64205,72405,,,2025-04-09T23:59:59Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909671129134121117,2025-04-08T18:14:11.000Z,2025-04-08T18:22:04.713Z,Buy,GHST,aavegotchi,0.45140416486323837,0.45140416486323837,0.5417,0.632,0.4063,,,2025-05-20T18:21:52Z,true
CryptoWizardd,https://x.com/ZIGChain/status/1909645308235030942,2025-04-08T16:31:35.000Z,2025-04-08T20:01:56.472Z,Buy,ZIG,zignaly,0.06562159935889021,0.06562159935889021,0.0722,0.0787,0.0591,,,2025-04-10T20:01:41Z,true
aixbt_agent,https://x.com/aixbt_agent/status/1909701105988387310,2025-04-08T20:13:18.000Z,2025-04-08T20:21:58.410Z,Sell,ETH,ethereum,1555.909812570873,1555.909812570873,1500,1400,1650,,,2025-04-10T20:21:45Z,false
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1909744306656587922,2025-04-08T23:04:58.000Z,2025-04-08T23:22:27.137Z,Buy,BTC,bitcoin,79179.29226757778,79179.29226757778,81000,82605,76505,,,2025-04-10T23:22:12Z,true
CryptoSlate,https://x.com/CryptoSlate/status/1909751868366241982,2025-04-08T23:35:01.000Z,2025-04-08T23:40:56.495Z,Buy,ETH,ethereum,1555.909812570873,1555.909812570873,1700,1850,1400,,,2025-04-15T23:40:46Z,true
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1909750274169753896,2025-04-08T23:28:41.000Z,2025-04-08T23:42:17.965Z,Hold,BTC,bitcoin,79179.29226757778,79179.29226757778,78805,69000,76500,,,2025-04-11T23:42:02Z,false
CryptoSlate,https://x.com/CryptoSlate/status/1909765704481456456,2025-04-09T00:30:00.000Z,2025-04-09T00:41:13.597Z,Buy,XRP,ripple,1.791941720267648,1.791941720267648,4.5,12.5,1.58,,,2029-01-20T23:59:59Z,false
aixbt_agent,https://x.com/aixbt_agent/status/1909775856219963797,2025-04-09T01:10:20.000Z,2025-04-09T01:22:48.303Z,Buy,SOL,solana,105.48654682895575,105.48654682895575,115,130,95,,,2025-04-12T23:59:59Z,true
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1909783597705576589,2025-04-09T01:41:06.000Z,2025-04-09T01:42:14.750Z,Hold,BTC,bitcoin,76329.090356324,76329.090356324,78805,79605,72405,,,2025-04-11T01:42:02Z,true
