Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Current Price,TP1,TP2,SL,Exit Price,P&L,Exit Price (Trailing Stop),P&L (Trailing Stop),Exit Price (SMA10),P&L (SMA10),Exit Price (SMA20),P&L (SMA20),Exit Price (EMA10),P&L (EMA10),Exit Price (EMA20),P&L (EMA20),,,,,,,,,,,,,,
aixbt_agent,https://x.com/aixbt_agent/status/1898587051525865955,2025-03-09T04:10:01.000Z,2025-03-19T11:04:17.721Z,Buy,JTO,jito-governance-token,2.325254844,2.160010046,2.62,2.85,2,2.282733402,-1.83%,2.197271166,-5.50%,2.197271166,-5.50%,2.197271166,-5.50%,2.197271166,-5.50%,2.197271166,-5.50%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902305447433928909,2025-03-19T10:25:36.000Z,2025-03-19T11:05:15.329Z,Buy,LINK,chainlink,13.92861735,13.92861735,14.6,15,13.5,14.21427399,2.05%,14.21427399,2.05%,14.21427399,2.05%,14.21427399,2.05%,13.95467045,0.19%,13.95467045,0.19%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:32.067Z,Buy,RENDER,render-token,3.22554946,3.244836237,3.5,3.75,3,3.923624047,21.64%,3.923624047,21.64%,3.730038684,15.64%,3.730038684,15.64%,3.730038684,15.64%,3.730038684,15.64%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:44.053Z,Buy,INJ,injective-protocol,9.96870015,9.698166456,12.06,14.1,8.1,9.638140536,-3.32%,9.158993132,-8.12%,9.158993132,-8.12%,9.158993132,-8.12%,9.158993132,-8.12%,9.158993132,-8.12%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:05:59.512Z,Buy,ONDO,ondo-finance,0.859652585,0.841556511,0.96,1.18,0.73,0.864954579,0.62%,0.820353141,-4.57%,0.820353141,-4.57%,0.820353141,-4.57%,0.820353141,-4.57%,0.820353141,-4.57%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1902040233257885955,2025-03-18T16:51:44.000Z,2025-03-19T11:06:10.797Z,Buy,QUBIC,qubic-network,1.31237E-06,1.24221E-06,0.00000135,0.00000145,0.0000011,0.0000011,-16.18%,0.0000011,-16.18%,0.0000011,-16.18%,0.0000011,-16.18%,0.0000011,-16.18%,0.0000011,-16.18%,,,,,,,,,,,,,,
CryptoReviewing,https://x.com/CryptoReviewing/status/1901975491680121013,2025-03-18T12:34:28.000Z,2025-03-19T11:06:21.946Z,Buy,KAS,kaspa,0.075655281,0.077798469,0.085,0.09,0.074,0.074,-2.19%,0.074,-2.19%,0.074,-2.19%,0.074,-2.19%,0.074,-2.19%,0.074,-2.19%,,,,,,,,,,,,,,
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:03.866Z,Buy,HYPE,hyperblast,0.004211426,0.003775071,0.0045,0.005,0.0034,0.004072275,-3.30%,0.004072275,-3.30%,0.004072275,-3.30%,0.004072275,-3.30%,0.004072275,-3.30%,0.004072275,-3.30%,,,,,,,,,,,,,,
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1898356764371730865,2025-03-08T12:54:57.000Z,2025-03-19T11:07:47.410Z,Buy,MKR,maker,1304.343785,1277.992601,1350,1420,1213,1213,-7.00%,1213,-7.00%,1213,-7.00%,1213,-7.00%,1213,-7.00%,1213,-7.00%,,,,,,,,,,,,,,
AltcoinSherpa,https://x.com/AltcoinSherpa/status/1902313784913391936,2025-03-19T10:58:44.000Z,2025-03-19T11:08:00.031Z,Buy,CAKE,pancakeswap-token,2.597573925,2.597573925,2.9,3.1,2.4,2.4,-7.61%,2.4,-7.61%,2.4,-7.61%,2.4,-7.61%,2.4,-7.61%,2.4,-7.61%,,,,,,,,,,,,,,
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1898420064036008439,2025-03-08T17:06:28.000Z,2025-03-19T11:08:39.002Z,Buy,HASHAI,hashai,0.000316637,0.000298718,0.00035,0.0008,0.00025,0.00025,-21.05%,0.00025,-21.05%,0.00025,-21.05%,0.00025,-21.05%,0.00025,-21.05%,0.00025,-21.05%,,,,,,,,,,,,,,
dippy_eth,https://x.com/dippy_eth/status/1887125294521127160,2025-02-05T13:05:05.000Z,2025-03-19T11:10:24.114Z,Buy,BERRY,berry,0.000226947,0.000156962,0.000235,0.000314,0.000125,0.000218121,-3.89%,0.000218121,-3.89%,0.000218121,-3.89%,0.000218121,-3.89%,0.000218121,-3.89%,0.000218121,-3.89%,,,,,,,,,,,,,,
dippy_eth,https://x.com/dippy_eth/status/1902297729100816560,2025-03-19T09:54:56.000Z,2025-03-19T11:11:02.306Z,Buy,ALCH,alchemist-ai,0.064761277,0.064761277,0.08,0.2,0.055,0.055,-15.07%,0.055,-15.07%,0.055,-15.07%,0.055,-15.07%,0.055,-15.07%,0.055,-15.07%,,,,,,,,,,,,,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1902046042645803455,2025-03-18T17:14:49.000Z,2025-03-19T11:12:01.587Z,Buy,LNQ,linqai,0.032036094,0.031378187,0.03539,0.03643,0.03,0.039693421,23.90%,0.039693421,23.90%,0.034172383,6.67%,0.034172383,6.67%,0.034172383,6.67%,0.034172383,6.67%,,,,,,,,,,,,,,
Steve_Cryptoo,https://x.com/rovercrc/status/1902043069727264982,2025-03-18T17:03:00.000Z,2025-03-19T11:12:14.017Z,Buy,BTC,bitcoin,84075.3656,82780.03049,84205,88065,79000,84270.84359,0.23%,84270.84359,0.23%,84270.84359,0.23%,84270.84359,0.23%,84270.84359,0.23%,84009.53292,-0.08%,,,,,,,,,,,,,,
Steve_Cryptoo,https://x.com/Steve_Cryptoo/status/1901920730666664009,2025-03-18T08:56:52.000Z,2025-03-19T11:12:29.181Z,Buy,ZIG,zignaly,0.086539304,0.083326139,0.089,0.096,0.079,0.089654299,3.60%,0.089654299,3.60%,0.082877302,-4.23%,0.082877302,-4.23%,0.082877302,-4.23%,0.082877302,-4.23%,,,,,,,,,,,,,,
cryptoo_doctor,https://x.com/cryptoo_doctor/status/1902295532636164432,2025-03-19T09:46:12.000Z,2025-03-19T11:13:18.493Z,Hold,VELO,velo,0.013655062,0.013655062,0.015,0.017,0.0125,0.013079609,-4.21%,0.012871185,-5.74%,0.012871185,-5.74%,0.012871185,-5.74%,0.012871185,-5.74%,0.012871185,-5.74%,,,,,,,,,,,,,,
cryptoo_doctor,https://x.com/cryptoo_doctor/status/1902295532636164432,2025-03-19T09:46:12.000Z,2025-03-19T11:13:29.414Z,Hold,XLM,stellar,0.273079684,0.273079684,0.28,0.3,0.23,0.281177989,2.97%,0.281177989,2.97%,0.281177989,2.97%,0.281177989,2.97%,0.276713919,1.33%,0.274021654,0.34%,,,,,,,,,,,,,,
