Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,TP2,SL,Exit Price,P&L
cryptostasher,https://x.com/cryptostasher/status/1898008977801125996,2025-03-07T13:52:58.000Z,2025-03-19T10:41:18.954Z,Buy,ZIG,zignaly,0.08839765311728418,,,,0.08332613939091653,0.1,0.15,0.0708,0.08273353968777504,-6.41%
cryptostasher,https://x.com/cryptostasher/status/1898476135840715138,2025-03-08T20:49:17.000Z,2025-03-19T10:41:30.607Z,Sell,BTC,bitcoin,86142.9833586432,,,,82780.03048688271,81250,75000,85000,85000,-1.33%
cryptostasher,https://x.com/cryptostasher/status/1898429528072126789,2025-03-08T17:44:05.000Z,2025-03-19T10:41:44.684Z,Buy,ZIG,zignaly,0.09352475191000759,,,,0.08332613939091653,0.0935,0.12,0.075,0.07943146215806177,-15.07%
cryptostasher,https://x.com/cryptostasher/status/1898189510145413521,2025-03-08T01:50:20.000Z,2025-03-19T10:41:57.225Z,Hold,BTC,bitcoin,86773.33597555371,,,,82780.03048688271,84205,88065,79205,80751.13893300897,-6.94%
cryptostasher,https://x.com/cryptostasher/status/1902284542167158968,2025-03-19T09:02:32.000Z,2025-03-19T10:42:08.311Z,Buy,ZIG,zignaly,0.08332613939091653,,,,0.08332613939091653,0.18,0.266,0.072,0.08273353968777504,-0.71%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898588132398027046,2025-03-09T04:14:19.000Z,2025-03-19T10:42:38.487Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.0005,0.00055,0.0004,0.0004218320812092959,-4.70%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898589002195927043,2025-03-09T04:17:46.000Z,2025-03-19T10:42:54.539Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.0004426,0.0004636,0.0003793,0.0004218320812092959,-4.70%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898584067173691557,2025-03-09T03:58:10.000Z,2025-03-19T10:43:09.713Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.0005,0.0008,0.0004,0.0004218320812092959,-4.70%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898523560450412776,2025-03-08T23:57:44.000Z,2025-03-19T10:43:21.186Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.00046,0.0005,0.00038,0.0004218320812092959,-4.70%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898420861599965546,2025-03-08T17:09:39.000Z,2025-03-19T10:43:35.980Z,Buy,AST,airswap,0.04977073022184182,,,,0.04672361647727621,0.05,0.055,0.042,0.04729225089811619,-4.98%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898420861599965546,2025-03-08T17:09:39.000Z,2025-03-19T10:43:50.584Z,Hold,PROS,prosper,0.5877242747237433,,,,0.46545307742535463,0.55,0.69,0.42,0.5291195317444459,-9.97%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898342321181319520,2025-03-08T11:57:33.000Z,2025-03-19T10:43:59.286Z,Buy,AST,airswap,0.04977073022184182,,,,0.04672361647727621,0.048,0.05,0.043,0.048382787744279634,-2.79%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898342321181319520,2025-03-08T11:57:33.000Z,2025-03-19T10:44:08.259Z,Buy,PROS,prosper,0.5877242747237433,,,,0.46545307742535463,0.502,0.547,0.403,0.5291195317444459,-9.97%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1901724355354149344,2025-03-17T19:56:33.000Z,2025-03-19T10:44:17.857Z,Hold,BTC,bitcoin,84075.36559694471,,,,82780.03048688271,89000,120000,70000,83767.95866260621,-0.37%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1899246219135946849,2025-03-10T23:49:19.000Z,2025-03-19T10:44:32.385Z,Buy,BTC,bitcoin,78783.94057934263,,,,82780.03048688271,84999.99,88000,81500,81500,3.45%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898004492236603820,2025-03-07T13:35:08.000Z,2025-03-19T10:45:27.110Z,Buy,LNQ,linqai,0.04462945039915064,,,,0.03137818737413583,0.04,0.045,0.028,0.04274931702389948,-4.21%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897988294547521689,2025-03-07T12:30:46.000Z,2025-03-19T10:45:39.082Z,Buy,BTC,bitcoin,90001.40087607042,,,,82780.03048688271,86919.03,90001.4,78500,83767.95866260621,-6.93%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897691548344820121,2025-03-06T16:51:37.000Z,2025-03-19T10:45:53.658Z,Buy,ZIG,zignaly,0.09090202561187435,,,,0.08332613939091653,0.0909,0.095,0.08,0.08,-11.99%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1897664434518347820,2025-03-06T15:03:52.000Z,2025-03-19T10:46:07.033Z,Buy,VANRY,vanar-chain,0.03380977244952896,,,,0.028433812858502612,0.034,0.04,0.025,0.025,-26.06%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898400262714483084,2025-03-08T15:47:47.000Z,2025-03-19T10:46:22.256Z,Buy,NFP,nfprompt-token,0.09569035518982646,,,,0.08439652984426946,0.092,0.098,0.078,0.09305761104214805,-2.75%
CryptoGemRnld,https://x.com/nfprompt/status/1898354385476067652,2025-03-08T12:45:29.000Z,2025-03-19T10:46:41.738Z,Buy,NFP,nfprompt-token,0.09569035518982646,,,,0.08439652984426946,0.09569,0.1,0.07,0.08519803383516673,-10.96%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898121722395824173,2025-03-07T21:20:58.000Z,2025-03-19T10:46:54.163Z,Buy,TRISIG,tri-sigma,0.0028628227971571707,,,,0.0036784026565517794,0.005,0.0075,0.0025,0.0025,-12.67%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1898121722395824173,2025-03-07T21:20:58.000Z,2025-03-19T10:47:09.911Z,Buy,STNK,stonks-4,17.00377519475514,,,,15.688391838593825,17,19.84,14.5,14.5,-14.72%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1902052882398245220,2025-03-18T17:42:00.000Z,2025-03-19T10:47:23.283Z,Buy,LNQ,linqai,0.03203609391914744,,,,0.03137818737413583,0.0345,0.0376,0.0282,0.031631495403840436,-1.26%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1899575921000264064,2025-03-11T21:39:26.000Z,2025-03-19T10:47:35.688Z,Buy,TRISIG,tri-sigma,0.004815515545077587,,,,0.0036784026565517794,0.004815,0.012061,0.0035,0.003995787833027957,-17.02%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901959279596454300,2025-03-18T11:30:03.000Z,2025-03-19T10:47:45.868Z,Hold,TRISIG,tri-sigma,0.004095915681041144,,,,0.0036784026565517794,0.004,0.0043,0.0034,0.003937061858355213,-3.88%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901959279596454300,2025-03-18T11:30:03.000Z,2025-03-19T10:47:57.613Z,Buy,FTON,fanton-token,0.0008108075034179296,,,,0.0008621439451970043,0.00095,0.001,0.00075,0.0009160689407412949,12.98%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901998950846251429,2025-03-18T14:07:41.000Z,2025-03-19T10:48:11.282Z,Buy,MEMEFI,memefi-2,0.0009856507012560752,,,,0.0010677816318697137,0.001228,0.001388,0.001,0.0010837561583235354,9.95%
CryptoGemRnld,https://x.com/CryptoGemRnld/status/1901998950846251429,2025-03-18T14:07:41.000Z,2025-03-19T10:48:24.666Z,Buy,PGC,piggypiggycoin,0.00019054422383550464,,,,0.00020683436582654902,0.00025,0.0003,0.000185,0.00020698993722898198,8.63%
CryptoSlate,https://x.com/CryptoSlate/status/1902303377767460870,2025-03-19T10:17:23.000Z,2025-03-19T10:49:06.616Z,Buy,BTC,bitcoin,82780.03048688271,,,,82780.03048688271,84205,88065,79205,83767.95866260621,1.19%
holdersignals,https://x.com/holdersignals/status/1897733278452666835,2025-03-06T19:37:26.000Z,2025-03-19T10:49:39.199Z,Buy,CHEEMS,cheems-token,8.723644177221685e-7,,,,0.0000013800002319536816,0.00000153,0.00000168,0.00000129,0.00000129,47.87%
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-19T10:49:54.902Z,Buy,DEGO,dego-finance,2.0276167653582,,,,1.930381439136279,2.05,2.15,1.85,2.083131299308308,2.74%
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-19T10:50:08.452Z,Hold,ERN,ethernity-chain,2.1134065470118464,,,,1.4580001146714838,1.7,1.85,1.3,2.0753266143529245,-1.80%
holdersignals,https://x.com/holdersignals/status/1898468240210182145,2025-03-08T20:17:54.000Z,2025-03-19T10:50:23.812Z,Buy,SLF,self-chain,0.24217642673726467,,,,0.2596864507698681,0.27,0.28,0.24,0.24,-0.90%
holdersignals,https://x.com/holdersignals/status/1898466567286874176,2025-03-08T20:11:16.000Z,2025-03-19T10:50:34.329Z,Buy,SLF,self-chain,0.24217642673726467,,,,0.2596864507698681,0.285,0.298,0.246,0.246,1.58%
holdersignals,https://x.com/holdersignals/status/1898191346768241000,2025-03-08T01:57:38.000Z,2025-03-19T10:50:45.767Z,Hold,CHEEMS,cheems,0.0001512755897640147,,,,0.00014899295337091997,0.00015128,0.000155,0.000145,0.00014570620548727767,-3.68%
holdersignals,https://x.com/holdersignals/status/1902126615578210646,2025-03-18T22:34:59.000Z,2025-03-19T10:50:57.192Z,Buy,SUNDOG,sundog,0.06382241589373587,,,,0.06382241589373587,0.0702,0.077,0.0574,0.06020370172223905,-5.67%
holdersignals,https://x.com/holdersignals/status/1901773083234750734,2025-03-17T23:10:10.000Z,2025-03-19T10:51:07.082Z,Buy,SUNDOG,sundog,0.05554042644866547,,,,0.06382241589373587,0.07,0.08,0.05,0.06020370172223905,8.40%
CryptoDona7,https://x.com/CryptoDona7/status/1898009672998629454,2025-03-07T13:55:44.000Z,2025-03-19T10:51:50.203Z,Buy,NAKA,nakachain,0,,,,0,0.000137,0.000171,0.00008,0.00009111900511388969,Infinity%
CryptoDona7,https://x.com/CryptoDona7/status/1898009672998629454,2025-03-07T13:55:44.000Z,2025-03-19T10:52:09.192Z,Buy,NAKA,nakamoto-games,0.4164300249876579,,,,0.4021635459821543,0.44,0.47,0.38,0.38,-8.75%
CryptoDona7,https://x.com/CryptoDona7/status/1898008295903756416,2025-03-07T13:50:15.000Z,2025-03-19T10:52:22.150Z,Hold,CPOOL,clearpool,0.15456464852497112,,,,0.13695479553578946,0.1545,0.1743,0.1201,0.1201,-22.30%
CryptoDona7,https://x.com/CryptoDona7/status/1898004902028136546,2025-03-07T13:36:46.000Z,2025-03-19T10:52:34.574Z,Buy,ETC,ethereum-classic,20.003553989009735,,,,17.704628028743794,25,37.89,15,18.31095252986293,-8.46%
