Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,SL,Exit Price,P&L
CryptoGemRnId,https://x.com/CryptoGemRnld/status/1885727889108389946,1-2-2025,2-2-2025,"🚨 *$FAR/USDT Trading Signal* 🚨  

**Token:** FARCANA ($FAR)  
**Signal:** BUY (Bullish Reversal Setup)  
**Current Price:** $0.00567  

**Key Observations:**  
1️⃣ Falling Wedge Pattern (Bullish Reversal) detected on charts.  
2️⃣ Price Compression suggests imminent breakout.  
3️⃣ Volume Surge: +39.82% in 24h – indicates growing interest.  
4️⃣ Historical Support: Price dipped -4.13% but remains near ""bottom"" zone per tweet analysis.  

**Targets (Conservative):**  
🎯 TP1: $0.0062 (+10%)  
🎯 TP2: $0.0065 (+15%) *if breakout sustains*  

**Stop Loss:**  
❌ SL: $0.0051 (-10% from entry)  

**Timeline:** 1-3 days post-breakout confirmation (watch for volume-backed close above wedge resistance).  

⚠️ **Note:**  
- Market cap remains low ($7M), implying high volatility risk.  
- No fundamental/category data provided – trade technically.  
- Always use strict risk management! 
",Farcana ($FAR),farcana,0.0056,0.0057,0.0048,0.0051,0.00215,0.0062,0.0051,,
CryptoGemRnId,https://x.com/CryptoGemRnld/status/1889001658140787080,10-2-2025,11-2-2025,"📊 *Trading Signal Alert* 📊

*Token:* $LAI/USDT (LayerAI)  
*Signal:* **Buy on Breakout**  
*Current Price:* $0.004785  

🔹 *Entry Trigger:* Wait for confirmed breakout above **$0.0062** (set price alert).  
🔹 *Target Price:* *Not specified* (monitor momentum post-breakout).  
🔹 *Stop Loss:* *Not specified* (manage risk based on your strategy).  
🔹 *Timeline:* *Not specified* (short-term trade unless trend strengthens).  

*Rationale:*  
- Price has risen **7.72%** in 24 hours with bullish momentum in market cap (+7.70%).  
- Safer entry hinges on breaking resistance at $0.0062 (key level per tweet analysis).  
- Volume dipped slightly (-3.47%), so confirm volume surge during breakout for validity.
",LayerAI($LAI),cryptogpt-token,0.0048,0.0048,0.0049,0.0041,0.002,,,,
Johnbellopate,https://x.com/Johnbellopate/status/1882791038483624124,24-1-2025,25-1-2025,"
$INJ Trading Signal
Token: INJ
Signal: Buy (Bullish)
Current Price: $20.75
Key Insights:
Deflationary mechanics via burn auctions & staking rewards (132)
Neutral RSI (50) & high volatility (ATR 2) suggests potential breakout (57)
TVL ratio (65) indicates overvaluation risk; monitor volume trends (5)
Tweet target: $120 (requires ~478% rally from current levels)
Note: Historical ATH at $53 (March 2024). Recent -45% YTD performance warrants caution despite bullish sentiment.
",Injective($INJ),injective-protocol,20.7503,20.7503,20.7019,20.2489,8.9949,,,,
holdersignals,https://x.com/holdersignals/status/1890889873541808464,16-2-2025,17-2-2025,"$TST Trading Signal
Token: Teleport System Token (TST)
Signal: Buy (Speculative)
Current Price: $0.0044
Key Info:
TST powers TeleportDAO’s Bitcoin-EVM bridge (used for cross-chain swaps/NFTs).
Recent 30-day price drop: -29%, but BNB ecosystem hype may drive volatility (123).
Targets: $0.0053 (7-day high) | Stop Loss: $0.0038 (below all-time low).
Timeline: 1-2 weeks for momentum trade; monitor volume spikes & BNB updates.
High risk – set strict risk management.
",Teleport System Token($TST),teleport-system-token,0.0045,0.0045,0.0046,0.0045,0.0031,0.0053,0.0038,,
holdersignals,https://x.com/holdersignals/status/1889030443535917090,2-2025,12-2-2025,"Trading Signal
$SYNTH | BUY
Current Price: $0.0081
Targets: $0.016 (2x short-term), $0.081 (10x mid-term)
Stop Loss: $0.0065
Timeline: Short-term (2-4 weeks), Mid-term (3-6 months)

Key Notes:

Token forming potential bottom with recent -4.8% dip (24h).

Low market cap (~$1.53M) signals high volatility/risk but upside potential if momentum resumes7.

Historical ATH at $0.062 (-85% from current)3. Use strict risk management due to speculative nature68.",SYNTHR($SYNTH),synthr,0.0086,0.0086,0.0085,0.0099,0.0047,0.016,0.0065,,
holdersignals,https://x.com/holdersignals/status/1890698253076680754,15-2-2025,16-2-2025,"$BERA Trading Signal 🚨
Token: Berachain (BERA)
Signal: Buy (Aggressive)
Current Price: $5.64
Target: $8 (+41% upside)
Stop-Loss: $5.40 (-4% downside)
Timeline: 24h

Key factors:

Recent 30% drop from $9.18 ATH (Feb 20) 📉

Testing critical support at $5.50 zone 🛡️

Low RVI volatility (47.84) suggests breakout potential ⚡

Binance HODLer airdrops & $3B+ DeFi TVL 📊

Risks: Next token unlock in May 2025 (10M BERA). Use tight SL!",Berachain($BERA),berachain-bera,5.9164,5.6401,8.7496,8.7193,5.9164,8,5.4,,
holdersignals,https://x.com/holdersignals/status/1887574531495370844,7-2-2025,8-2-2025,"$USUAL Trading Signal
🔴 Signal: Buy
💰 Current Price: $0.2475
🎯 Target: $0.55 (All-Time High Resistance)
⛔ Stop Loss: $0.22
📆 Timeline: 1-2 Weeks

Recent +65% weekly surge 1, governance utility in DeFi ecosystem with USD0/USD0++ stablecoins 34. Market cap up 8% despite slight volume dip. Burj pattern suggests bullish momentum—watch for breakout above $0.25 resistance.",Usual($USUAL),usual,0.2302,0.2302,0.2759,0.2598,0.1636,0.55,0.22,,
CryptoDona7,https://x.com/CryptoDona7/status/1886940863017746634,5-2-2025,6-2-2025,"$NAKA
🔔 Signal: Buy
💰 Current Price: $0.49
🎯 Target: $0.53 (reclaim blue zone resistance)
🛑 Stop Loss: $0.47

Weekly bullish divergence suggests weakening bear momentum. A break above $0.53 could confirm reversal potential. NAKA is a Polygon-based P2E gaming token with recent ecosystem growth 14. Monitor volume spikes for confirmation.",Nakamoto Games($NAKA),nakamoto-games,0.5058,0.4876,0.5516,0.5527,0.3405,0.53,0.47,,
CryptoGemRnId,https://x.com/CryptoGemRnld/status/1886132067320430731,3-2-2025,4-2-2025,"🚀 Trading Signal: $LUMIA/USDT
Signal: BUY
Current Price: $0.40
Stop Loss: -5% ($0.38)
Target: Conservative bounce to $0.50 (testing 24h high)

📊 Key Info:

24h volume ↑65% (rising interest) 4

Recent dip (-17% weekly) but strong DeFi/RWA fundamentals 17

Listed on Binance/Kucoin (high liquidity) 4

Note: Market recovery likely needed for sustained upside.",Lumia($LUMIA),lumia,0.6662,0.6662,0.6659,0.621,0.4183,0.5,0.38,,
CryptoGemRnId,https://x.com/CryptoGemRnld/status/1879142516244779307,14-1-2025,15-1-2025,"Trading Signal Alert
Token: $SLF/USDT (Self Chain)
Signal: BUY
Current Price: $0.2697

Targets:

+50%: $0.40

+80%: $0.48

Stop Loss: $0.245 (-9% from entry)
Timeline: Short-to-mid term (1-4 weeks)

Rationale:

Price rebounded +3.43% since yesterday with rising market cap (+4.08%) 79.

Recent KuCoin/Crypto.com listings boost liquidity & visibility 15.

Historical volatility supports bounce potential (168% prior rally noted) 13.

Trade cautiously—monitor volume shifts & BTC trends.",Self Chain($SLF),self-chain,0.2697,0.2697,0.2876,0.2473,0.2174,0.4,0.245,,
